id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26650453,Metropolitan Suite Ground Floor by K&K,191530509,Evelin,,ΘΗΣΕΙΟ,37.977696011804014,23.721498448487978,Entire home/apt,162,1,0,,,6,139
26651207,City Residence Thissio View by K&K,191530509,Evelin,,ΘΗΣΕΙΟ,37.97832109780402,23.72063560588455,Entire home/apt,186,1,0,,,6,139
26651553,Louk -  house - A home next to mount Lykabettus,185126108,Monika,,ΓΚΥΖΗ,37.990806559548936,23.751859661821797,Entire home/apt,100,3,1,2018-07-22,1,1,359
26651752,Grand Residence Thissio View by K&K,191530509,Evelin,,ΘΗΣΕΙΟ,37.97757294507417,23.720333414240628,Entire home/apt,213,1,0,,,6,139
26652163,(New) STUDIO - SUITE in the heart of City Center,17791817,Emmanuelle,,ΚΟΛΩΝΑΚΙ,37.97904382684776,23.740601761870725,Entire home/apt,39,2,1,2018-07-09,0.79,3,76
26652463,★LemonTreeAthens★CityBreak Apt w/balcony★,200353652,Iosif,,ΙΛΙΣΙΑ,37.975998569961696,23.752213770709933,Entire home/apt,55,2,7,2018-08-14,7,1,152
26652662,Thissio Luxury Residence Acropolis View by K&K,191530509,Evelin,,ΘΗΣΕΙΟ,37.97728153988379,23.72175156189341,Entire home/apt,259,1,0,,,6,139
26652670,Αθηνα: Σπιτι με θεα,200347004,Angelos,,ΠΟΛΥΓΩΝΟ,37.99924527896993,23.750037851374497,Entire home/apt,50,1,0,,,1,179
26652731,Athens central studios-near to acropolis,186232202,Vasilis,,ΚΕΡΑΜΕΙΚΟΣ,37.979658320470094,23.7215377581344,Entire home/apt,50,1,11,2018-08-15,10.31,2,333
26653573,Elegant A1 Apartment in the heart of Plaka,29927830,"Dimitris, Konstantinos & Sevi",,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97535369974538,23.728717940918617,Entire home/apt,80,1,5,2018-08-10,5,80,361
26653821,Elegant A2 Apartment in the heart of Plaka,29927830,"Dimitris, Konstantinos & Sevi",,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9763161605365,23.727334821749373,Entire home/apt,80,1,3,2018-08-06,3,80,355
26654077,Elegant B2 Apartment in the heart of Plaka,29927830,"Dimitris, Konstantinos & Sevi",,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97458318991575,23.72802147973155,Entire home/apt,80,1,5,2018-08-11,5,80,354
26654543,"DiamondHome 10, elegant, luxury, downtown",29977689,George & Ira,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,37.999525030696304,23.732869500965613,Entire home/apt,65,1,5,2018-08-04,5,3,43
